Name of the file,Topic,Participant,CN,Dialogue,Translation,CS/DM/SS,Comments,,,,,,
,,Fred (cont.),,"So either <Swahili>anapata mtu ku</Swahili>translate, he knows a little of English, he knows a little Kiswahili and also almost aah three quarters of-of their native language.  So there’s no way <Swahili>mtu atazungumza</Swahili> just <Swahili>kwa lugha moja</Swahili> yet you don’t have the vocabulary-you don’t have [uncertain transcription] that is lack of vocabulary that is what now constitutes us to speak this other language that is to codeswitch, to change, keep changing from this to the other, this to the other. Like for example let’s say you’re describing somebody the fluorescent tube. How would you say that let's say in Kiswahili? Eh? So you can be the [uncertain transcription] <Swahili label='quotation'>tuseme ""ati Onyango, jana usiku nilipokuwa nikisoma</Swahili label='quotation'> our fluorescent tube </Swahili>ili</Swahili>bust” (laughs). So <Swahili>unaona</Swahili> (laughs), so lack of the-we don't have certain words for this. Let’s say maybe it’s there but you don’t know it so that is lack of enough vocabulary it will constitute us now to codeswitch that is to change. Mmm but is not more-mainly for ease of speaking because you should know now-speaking should not stop simply because you don’t have the correct word you can even describe it=","So either <English>s/he gets someone to<English> translate,he knows a little of English, he knows a little Kiswahili and also almost aah three quarters of-of their native language.  So there’s no way <English>a person will speak</English> just <English>in one language</English> yet you don’t have the vocabulary-you don’t have [uncertain transcription] that is lack of vocabulary that is what now constitutes us to speak this other language that is to codeswitch, to change, keep changing from this to the other, this to the other. Like for example let’s say you’re describing somebody the fluorescent tube. How would you say that let's say in Kiswahili? Eh? So you can be the [uncertain transcription] <English>let's say ""Hey Onyango, last night when I was studying</English> our fluorescent tube </English>it</English>bust” (laughs). So <English>you see</English> (laughs), so lack of the-we don't have certain words for this. Let’s say maybe it’s there but you don’t know it so that is lack of enough vocabulary it will constitute us now to codeswitch that is to change. Mmm but is not more-mainly for ease of speaking because you should know now-speaking should not stop simply because you don’t have the correct word you can even describe it=",CS,SM: Quotation.,,,,,,
,,Interviewer,,In another language.,In another language.,,,,,,,,
,,Fred,,Yea in another language provided the speaker understands you.,Yea in another language provided the speaker understands you.,,,,,,,,
,,Interviewer,,"Mmm, as long as you can communicate.","Mmm, as long as you can communicate.",,,,,,,,
,,Fred,,"Provided you communicate and they can get whatever you’re saying is, that’s okay.","Provided you communicate and they can get whatever you’re saying is, that’s okay.",,,,,,,,
,Languages Used in Codeswitching,Interviewer,00:16:03mins,"Okay so majorly in your conversations, what languages do you tend to mix?","Okay so majorly in your conversations, what languages do you tend to mix?",,,,,,,,
,,Fred,,Uh huuh.,Uh huuh.,,,,,,,,
,,Interviewer,,You codeswitch from which languages majorly? ,You codeswitch from which languages majorly? ,,,,,,,,
,,Fred,,"Maybe Kiswahili, English and Dholuo.","Maybe Kiswahili, English and Dholuo.",,,,,,,,
,,Interviewer,,"Kiswahili, English, Dholuo.","Kiswahili, English, Dholuo.",,,,,,,,
,,Fred,,Yea just tho-those three. Unless=,Yea just tho-those three. Unless=,,,,,,,,
,,Interviewer,,How about Sheng?,How about Sheng?,,,,,,,,
,,Fred,,"Yea, Sheng-Sheng mostly but me mostly I-it’s Kiswahili, English and Dholuo and let’s say being that I-I really want to know these other-those languages so when I am with them and someone ha-has told me that let’s say Kikisii. <Swahili>Ku-ku</Swahili>love someone and if when someone tells you “I love you” and you say [speaks another language]. So if let’s say I also want to tell this person that I’m also not that-just that layman [uncertain transcription] why not two of the languages that I heard. Yea, but mostly <Swahili>inatoka Kiswahili, English or Dholuo</Swahili>. But <Swahili>kisanasana Sheng pia inaingiaga</Swahili> you see Kiswahlii mostly Sheng <Swahili>utapata Sheng inaingia hapo, lakini sanasana inakuwa Kiswahili, English ama Dholuo</Swahili>. ","Yea, Sheng-Sheng mostly but me mostly I-it’s Kiswahili, English and Dholuo and let’s say being that I-I really want to know these other-those languages so when I am with them and someone ha-has told me that let’s say Kikisii. <English>To-to</English>love someone and if when someone tells you “I love you” and you say [speaks another language]. So if let’s say I also want to tell this person that I’m also not that-just that layman [uncertain transcription] why not two of the languages that I heard. Yea, but mostly <English>it come out Swahili, English or Luo</English>. But <English>mostly Sheng also comes in</English> you see Kiswahlii mostly Sheng <English>you will find Sheng comes in there, but mostly it is usually Swahili, English or Luo</English>. ",CS,Unmarked.,,,,,,
,Differences Between the Way you Speak and the Way Other Students Speak,Interviewer,,Okay and have you noted the difference between your mode of speaking the way you speak and the way other students speak?,Okay and have you noted the difference between your mode of speaking the way you speak and the way other students speak?,,,,,,,,
,,Fred,,"Yes. There is a difference. [uncertain transcription] whenever I speak they tell me that you, you have a Luo accent. <Swahili>Eeh, wananiambiaga ""wewe</Swahili>, when you are speaking English you are speaking with that Luo accent"".  And you see I am proud of that because it identifies me that I’m a Luo. <Swahili label='high solidarity'>Yea, mimi sio mtumwa. Mi sijaacha mila yetu. Mi bado ni mtu wa huko huko.  Eeh?</Swahili label='high solidarity'> (he laughs)","Yes. There is a difference. [uncertain transcription] whenever I speak they tell me that you, you have a Luo accent. <English>Eeh, they tell me, ""you</English>, when you are speaking English you are speaking with that Luo accent"".  And you see I am proud of that because it identifies me that I’m a Luo. <English>Yea, I am not a slave. I have not left my customs. I am still a person from out there. Eeh?</English> (he laughs)",CS,"SM: High solidarity. OLF: ""Mi sio mtumwa…"" Fred is expressing high solidarity with his Luo ethnicity.",,,,,,
